Cid,Year,Ethnicity,Sex,Cause of Death,Count,Percent
18950,2010,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,16,0
18951,2010,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",90,1
18952,2010,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,55,0
18953,2010,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,22,0
18954,2010,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,75,1
18955,2010,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,107,1
18956,2010,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,14,0
18957,2010,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,32,0
18958,2010,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,272,2
18959,2010,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,94,1
18960,2010,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,49,0
18961,2010,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),25,0
18962,2010,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,46,0
18963,2010,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,91,1
18964,2010,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,276,2
18965,2010,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,110,1
18966,2010,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,388,3
18967,2010,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33,0
18968,2010,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,245,2
18969,2010,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,4495,37
18970,2010,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,153,1
18971,2010,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,76,1
18972,2010,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,614,5
18973,2010,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),182,1
18974,2010,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3408,28
18975,2010,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,57,0
18976,2010,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",119,1
18977,2010,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,79,1
18978,2010,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,19,0
18979,2010,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,211,2
18980,2010,NON-HISPANIC WHITE,MALE,SEPTICEMIA,74,1
18981,2010,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,14,0
18982,2010,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,82,1
18983,2011,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,44,3
18984,2011,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,24,2
18985,2011,ASIAN & PACIFIC ISLANDER,FEMALE,ANEMIAS,5,0
18986,2011,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),6,0
18987,2011,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,11,1
18988,2011,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,98,6
18989,2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6,0
18990,2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,10,1
18991,2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,30,2
18992,2011,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7,0
18993,2011,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,51,3
18994,2011,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,402,26
18995,2011,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,46,3
18996,2011,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,84,6
18997,2011,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),23,2
18998,2011,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,454,30
18999,2011,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",18,1
19000,2011,ASIAN & PACIFIC ISLANDER,FEMALE,PARKINSONS DISEASE,5,0
19001,2011,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,11,1
19002,2011,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,6,0
19003,2011,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,61,3
19004,2011,ASIAN & PACIFIC ISLANDER,MALE,ALZHEIMERS DISEASE,18,1
19005,2011,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,6,0
19006,2011,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),9,0
19007,2011,ASIAN & PACIFIC ISLANDER,MALE,ATHEROSCLEROSIS,6,0
19008,2011,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,11,1
19009,2011,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,79,4
19010,2011,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,15,1
19011,2011,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,73,4
19012,2011,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",13,1
19013,2011,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,60,3
19014,2011,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,452,25
19015,2011,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,37,2
19016,2011,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,94,5
19017,2011,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),50,3
19018,2011,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,550,30
19019,2011,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,11,1
19020,2011,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",17,1
19021,2011,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,11,1
19022,2011,ASIAN & PACIFIC ISLANDER,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,5,0
19023,2011,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,15,1
19024,2011,ASIAN & PACIFIC ISLANDER,MALE,SHORT GESTATION/LBW,5,0
19025,2011,ASIAN & PACIFIC ISLANDER,MALE,TUBERCULOSIS,10,1
19026,2011,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,16,1
19027,2011,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,52,1
19028,2011,HISPANIC,FEMALE,ALZHEIMERS DISEASE,90,2
19029,2011,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,12,0
19030,2011,HISPANIC,FEMALE,ASSAULT (HOMICIDE),20,0
19031,2011,HISPANIC,FEMALE,ATHEROSCLEROSIS,15,0
19032,2011,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,17,0
19033,2011,HISPANIC,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,8,0
19034,2011,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,179,4
19035,2011,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,39,1
19036,2011,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156,3
19037,2011,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",21,0
19038,2011,HISPANIC,FEMALE,DIABETES MELLITUS,196,4
19039,2011,HISPANIC,FEMALE,DISEASES OF HEART,1348,30
19040,2011,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,83,2
19041,2011,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,70,2
19042,2011,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,218,5
19043,2011,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),21,0
19044,2011,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1085,24
19045,2011,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",42,1
19046,2011,HISPANIC,FEMALE,PARKINSONS DISEASE,16,0
19047,2011,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",12,0
19048,2011,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,56,1
19049,2011,HISPANIC,FEMALE,SEPTICEMIA,42,1
19050,2011,HISPANIC,FEMALE,SHORT GESTATION/LBW,16,0
19051,2011,HISPANIC,FEMALE,VIRAL HEPATITIS,39,1
19052,2011,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,180,4
19053,2011,HISPANIC,MALE,ALZHEIMERS DISEASE,38,1
19054,2011,HISPANIC,MALE,ANEMIAS,10,0
19055,2011,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,20,0
19056,2011,HISPANIC,MALE,ASSAULT (HOMICIDE),115,2
19057,2011,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,18,0
19058,2011,HISPANIC,MALE,CEREBROVASCULAR DISEASE,147,3
19059,2011,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,167,3
19060,2011,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,124,3
19061,2011,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",37,1
19062,2011,HISPANIC,MALE,DIABETES MELLITUS,200,4
19063,2011,HISPANIC,MALE,DISEASES OF HEART,1201,25
19064,2011,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,69,1
19065,2011,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,162,3
19066,2011,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,209,4
19067,2011,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),93,2
19068,2011,HISPANIC,MALE,MALIGNANT NEOPLASMS,1144,23
19069,2011,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,48,1
19070,2011,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",44,1
19071,2011,HISPANIC,MALE,PARKINSONS DISEASE,21,0
19072,2011,HISPANIC,MALE,PEPTIC ULCER,9,0
19073,2011,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,145,3
19074,2011,HISPANIC,MALE,SEPTICEMIA,40,1
19075,2011,HISPANIC,MALE,SHORT GESTATION/LBW,12,0
19076,2011,HISPANIC,MALE,VIRAL HEPATITIS,105,2
19077,2011,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,76,1
19078,2011,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,90,1
19079,2011,NON-HISPANIC BLACK,FEMALE,ANEMIAS,13,0
19080,2011,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,19,0
19081,2011,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),52,1
19082,2011,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,20,0
19083,2011,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,41,1
19084,2011,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,16,0
19085,2011,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,281,4
19086,2011,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,39,1
19087,2011,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,221,3
19088,2011,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",29,0
19089,2011,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,410,6
19090,2011,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2243,30
19091,2011,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,225,3
19092,2011,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,144,2
19093,2011,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,273,4
19094,2011,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1918,26
19095,2011,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,17,0
19096,2011,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",83,1
19097,2011,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,22,0
19098,2011,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",13,0
19099,2011,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,65,1
19100,2011,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,52,1
19101,2011,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,27,0
19102,2011,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,33,0
19103,2011,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,133,2
19104,2011,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,39,1
19105,2011,NON-HISPANIC BLACK,MALE,ANEMIAS,24,0
19106,2011,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,29,0
19107,2011,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),266,4
19108,2011,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,15,0
19109,2011,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,16,0
19110,2011,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,200,3
19111,2011,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,66,1
19112,2011,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,200,3
19113,2011,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",31,0
19114,2011,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,307,5
19115,2011,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,1840,28
19116,2011,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,154,2
19117,2011,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,277,4
19118,2011,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,243,4
19119,2011,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),53,1
19120,2011,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1590,24
19121,2011,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,45,1
19122,2011,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",76,1
19123,2011,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,18,0
19124,2011,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,135,2
19125,2011,NON-HISPANIC BLACK,MALE,SEPTICEMIA,54,1
19126,2011,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,17,0
19127,2011,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,56,1
19128,2011,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,184,1
19129,2011,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,231,2
19130,2011,NON-HISPANIC WHITE,FEMALE,ANEMIAS,15,0
19131,2011,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,27,0
19132,2011,NON-HISPANIC WHITE,FEMALE,ASSAULT (HOMICIDE),20,0
19133,2011,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,58,0
19134,2011,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,73,1
19135,2011,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,466,3
19136,2011,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,15,0
19137,2011,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,79,1
19138,2011,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,510,4
19139,2011,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",39,0
19140,2011,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,253,2
19141,2011,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5016,37
19142,2011,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,199,1
19143,2011,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,19,0
19144,2011,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,696,5
19145,2011,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),68,1
19146,2011,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3373,25
19147,2011,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,19,0
19148,2011,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",76,1
19149,2011,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,55,0
19150,2011,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,24,0
19151,2011,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,88,1
19152,2011,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,86,1
19153,2011,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,32,0
19154,2011,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,272,2
19155,2011,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,89,1
19156,2011,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,44,0
19157,2011,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),33,0
19158,2011,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,29,0
19159,2011,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,76,1
19160,2011,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,290,2
19161,2011,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,127,1
19162,2011,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,444,4
19163,2011,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",55,0
19164,2011,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,258,2
19165,2011,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,4220,35
19166,2011,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,142,1
19167,2011,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,75,1
19168,2011,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,646,5
19169,2011,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),177,1
19170,2011,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3222,27
19171,2011,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,60,0
19172,2011,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",89,1
19173,2011,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,77,1
19174,2011,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,21,0
19175,2011,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,254,2
19176,2011,NON-HISPANIC WHITE,MALE,SEPTICEMIA,75,1
19177,2011,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,15,0
19178,2011,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,76,1
19179,2007,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,32,2
19180,2007,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,7,1
19181,2007,ASIAN & PACIFIC ISLANDER,FEMALE,AORTIC ANEURYSM AND DISSECTION,9,1
19182,2007,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),6,0
19183,2007,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,5,0
19184,2007,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,6,0
19185,2007,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,70,5
19186,2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,6,0
19187,2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,29,2
19188,2007,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,34,3
19189,2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428,33
19190,2007,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,22,2
19191,2007,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,58,5
19192,2007,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),22,2
19193,2007,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,396,31
19194,2007,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",13,1
19195,2007,ASIAN & PACIFIC ISLANDER,FEMALE,PARKINSONS DISEASE,5,0
19196,2007,ASIAN & PACIFIC ISLANDER,FEMALE,PEPTIC ULCER,6,0
19197,2007,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,7,1
19198,2007,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,54,3
19199,2007,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5,0
19200,2007,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,9,1
19201,2007,ASIAN & PACIFIC ISLANDER,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,5,0
19202,2007,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,56,4
19203,2007,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,18,1
